Date,TransitAgency,Location,Type,Amount
"6/12/2026 12:52:58 AM","GTAFS Central System","","Epurse Load","$20.00"
"6/12/2026 12:54:16 AM","Toronto Transit Commission","King St West At Atlantic Ave","Fare Payment","$-2.10"
"6/13/2026 12:44:18 PM","Union Pearson Express","Weston Station","Fare Payment","$-5.02"
"6/13/2026 1:09:51 PM","GO Transit","Union Station Rail","Fare Payment","$-3.70"
"6/14/2026 11:07:18 AM","Toronto Transit Commission","0","Fare Payment","$-2.10"
"6/14/2026 12:34:53 PM","GO Transit","Union Station Rail","Fare Payment","$-1.94"
"6/14/2026 1:06:45 PM","GO Transit","Mount Dennis GO Station Rail","Fare Payment","$0.17"
"6/15/2026 5:58:36 AM","GTAFS Central System","","Epurse Load","$5.00"
"6/15/2026 6:02:10 AM","Union Pearson Express","Weston Station","Fare Payment","$-5.02"
"6/15/2026 6:26:49 AM","Toronto Transit Commission","Union Station - Northbound Platform Tow","Fare Payment","$-2.10"
"6/15/2026 8:18:02 PM","Toronto Transit Commission","King St West At Atlantic Ave","Fare Payment","$-2.10"
"6/16/2026 6:07:14 AM","GO Transit","Weston GO Station Rail","Epurse Load","$10.00"
"6/16/2026 6:07:29 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"6/16/2026 6:36:53 AM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"6/16/2026 8:11:24 PM","Toronto Transit Commission","King St West At Atlantic Ave","Fare Payment","$-2.10"
"6/19/2026 6:43:24 PM","Toronto Transit Commission","WELLESLEY STATION","Fare Payment","$-2.10"
"6/20/2026 9:58:53 AM","Toronto Transit Commission","Weston Rd at Lawrence Ave West","Fare Payment","$-2.10"
"6/21/2026 3:42:19 PM","GTAFS Central System","","Epurse Load","$5.98"
"6/21/2026 3:48:35 PM","Toronto Transit Commission","King St West At Joe Shuster Way","Fare Payment","$-2.10"
"6/22/2026 10:39:47 AM","GTAFS Central System","","Epurse Load","$10.00"
"6/22/2026 10:40:15 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"6/22/2026 11:08:13 AM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"6/22/2026 6:27:21 PM","Toronto Transit Commission","King St West At Atlantic Ave","Fare Payment","$-2.10"
"6/23/2026 12:01:33 PM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"6/23/2026 3:30:56 PM","Toronto Transit Commission","HIGH PARK STATION","Fare Payment","$-2.10"
"6/24/2026 10:37:51 AM","GTAFS Central System","","Epurse Load","$5.00"
"6/24/2026 10:57:44 AM","Toronto Transit Commission","Weston Rd at Lawrence Ave West","Fare Payment","$-2.10"
"6/25/2026 4:47:35 PM","Toronto Transit Commission","Weston Rd at Lawrence Ave West","Fare Payment","$-2.10"
"6/25/2026 7:39:47 PM","Toronto Transit Commission","DAVISVILLE STATION","Epurse Load","$5.00"
"6/25/2026 7:40:13 PM","Toronto Transit Commission","DAVISVILLE STATION","Fare Payment","$-2.10"
"6/28/2026 11:07:53 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"6/28/2026 11:12:56 AM","GTAFS Central System","","Epurse Load","$3.62"
"6/28/2026 11:35:49 AM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"6/30/2026 5:23:06 AM","GTAFS Central System","","Epurse Load","$10.00"
"6/30/2026 6:03:43 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"6/30/2026 6:38:30 AM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
"6/30/2026 7:02:36 PM","Toronto Transit Commission","KING STATION","Fare Payment","$-2.10"
"7/4/2026 8:44:55 AM","GO Transit","Weston GO Station Rail","Fare Payment","$-3.70"
"7/4/2026 9:47:43 AM","GO Transit","Union Station Rail","Fare Payment","$-1.06"
